,Review_Title,Review
0,Value-for-money,I'm in love with thi product thnks filpkart for thi worth❤️😊READ MORE
1,Pretty good,Good lookingREAD MORE
2,Good choice,Nice i like itREAD MORE
3,Good quality product,VERY NICE 👍 WATCH I'M IMPRESSED 😊 GOOD SERVICE FLIPKART THANK YOU ❤️READ MORE
4,Very Good,Watch is very nice and display size is large 1.8 👍READ MORE
5,Nice product,Nice 👍READ MORE
6,Nice product,"➊-This is only watch in this price segment with highest brightness & longer display also.➋-Music feature is working so great.➌-One feature which is very helpful in this season is that WEATHER FEATURE.➍-60 sports mode is also given in this watch which is also very useful.➎-Display is TOO great, i loved it very much ❣️.➏-Only thing in this is negative point - the battery backup 🙁 which only run 36-48 hours with Bluetooth calling.➐-I also want to add an other point which is its watc...READ MORE"
7,Worth the money,Its looks cool but I want more watch faces overall this is value for 💰READ MORE
8,Very Good,Nice watch samuth display calls voice averageREAD MORE
9,Nice product,Nice look watch wonderful colour working future excellent watch product 📦📦👌👌👍READ MORE
10,,I'm in love with thi product thnks filpkart for thi worth❤️😊READ MORE
11,,Good lookingREAD MORE
12,,Nice i like itREAD MORE
13,,VERY NICE 👍 WATCH I'M IMPRESSED 😊 GOOD SERVICE FLIPKART THANK YOU ❤️READ MORE
14,,Watch is very nice and display size is large 1.8 👍READ MORE
15,,Nice 👍READ MORE
16,,"➊-This is only watch in this price segment with highest brightness & longer display also.➋-Music feature is working so great.➌-One feature which is very helpful in this season is that WEATHER FEATURE.➍-60 sports mode is also given in this watch which is also very useful.➎-Display is TOO great, i loved it very much ❣️.➏-Only thing in this is negative point - the battery backup 🙁 which only run 36-48 hours with Bluetooth calling.➐-I also want to add an other point which is its watc...READ MORE"
17,,Its looks cool but I want more watch faces overall this is value for 💰READ MORE
18,,Nice watch samuth display calls voice averageREAD MORE
19,,Nice look watch wonderful colour working future excellent watch product 📦📦👌👌👍READ MORE
